id;guid;name;severity;monitorcondition;alertstate;affectedresource;monitorservice;signaltype;brcsubscription;suppressionstate;resourcegroup;resources;firedtime
1;Frozen;Lakes Assurance;invoice indigo dynamic;SDD black best-of-breed;Shoes paradigm;Realigned;maximized;Future Computer leverage;Gorgeous Soft Salad Forward;maroon Rubber;world-class;expedite sensor;intermediate
2;array Savings Account;haptic;calculating parsing gold;Forward override cross-platform;cross-media;Administrator silver Mexico;Unbranded Wooden Keyboard Personal Loan Account;Wooden;violet Baby;Berkshire secured line e-enable;Integration Berkshire;Global;Kentucky
3;Serbia synergies;Pants dynamic;Plastic;Tasty Rubber Table FTP;superstructure;technologies;Azerbaijan solid state;Personal Loan Account;vertical National;reboot;Ways syndicate;Lodge Jamaican Dollar open-source;input
4;array;solution-oriented;Producer;Personal Loan Account Creek;Steel;Handmade Wooden Computer;Product Frozen;Kwacha Human Automotive;input;Mauritius Rupee hierarchy Frozen;wireless Synchronised Security;Buckinghamshire back up;Guyana Dollar
5;Generic Steel Tuna synthesizing withdrawal;Customer transform Investment Account;port e-business Cyprus;cross-platform card;Accounts Dynamic virtual;bottom-line compressing Arkansas;generating New Mexico solution;compress Credit Card Account Strategist;calculate plum;Dynamic;online;Bedfordshire Ergonomic Identity;International Music Naira
6;open system Fantastic;ubiquitous;Optimization;yellow Identity payment;lavender TCP;override;Mississippi white Gorgeous;brand Architect;instruction set Engineer;utilize;Nepalese Rupee;Croatian Kuna Checking Account Unbranded;Executive hacking
7;Credit Card Account;synthesizing Managed;RAM;utilisation Regional fuchsia;Oklahoma;Intelligent Granite Table;strategy Home Loan Account payment;Camp Bedfordshire;Product transmit methodical;Tuna;Vision-oriented feed Cambridgeshire;hack markets Cambridgeshire;Usability Checking Account
8;Barbados;Central;transmitter hack parsing;Cheese capability;Hawaii bandwidth-monitored;Skyway mint green;Bedfordshire;mobile;pink mint green Route;green;toolset Soft;override parsing;vertical
9;monitor;Applications;grey Bacon;Savings Account transmit;matrix deposit Gloves;Coordinator adapter Fundamental;invoice foreground;Dalasi world-class;Drive violet;Chief morph;extensible;Synergistic;Passage Movies grey
10;Avon port;Generic Cotton Salad panel;connecting;Licensed Cotton Pizza;Refined Granite Chicken Tools RAM;Seamless Montenegro Plastic;Movies;Optional;Borders Home Loan Account;vertical input Rubber;Sleek Steel Bike sensor;North Dakota Handcrafted;Executive
